date,round,home,home_abb,away,away_abb,status,home_ht,home_ft,away_ht,away_ft
2024-11-15T19:00:00+00:00,7,Villa-Lidkoping BK,VIL,Frillesaas BK,FRI,closed,4,10,3,4
2024-11-16T14:00:00+00:00,7,IK Sirius BK,SIR,Sandvikens AIK,SAN,closed,1,4,3,7
2024-11-16T15:00:00+00:00,7,Vetlanda BK,VBK,Gripen Trollhättan BK,GRT,closed,1,4,2,4
2024-11-16T15:00:00+00:00,7,Vasteraas SK,VSK,Edsbyns IF,EDS,closed,2,5,4,8
2024-11-16T16:00:00+00:00,7,Ljusdals BK,LJU,Hammarby IF/BK,HAM,closed,0,1,4,8
2024-11-18T18:00:00+00:00,6,Frillesaas BK,FRI,Ljusdals BK,LJU,postponed,,,,
2024-11-20T18:00:00+00:00,8,Bollnas GIF,BOL,Vasteraas SK,VSK,closed,3,6,2,4
2024-11-20T18:00:00+00:00,8,Edsbyns IF,EDS,Ljusdals BK,LJU,closed,5,13,0,2
2024-11-20T18:00:00+00:00,8,Frillesaas BK,FRI,Aby/Tjureda IF,A/T,postponed,,,,
2024-11-20T18:00:00+00:00,8,Gripen Trollhättan BK,GRT,Broberg/Soderhamn BS,BRO,closed,2,6,1,2
2024-11-20T18:00:00+00:00,8,Hammarby IF/BK,HAM,IK Sirius BK,SIR,closed,0,2,2,6
2024-11-20T18:00:00+00:00,8,Sandvikens AIK,SAN,Vetlanda BK,VBK,closed,4,4,1,4
2024-11-20T18:00:00+00:00,8,Villa-Lidkoping BK,VIL,IFK Vanersborg,VAN,closed,7,14,0,3
2024-11-24T12:00:00+00:00,6,Frillesaas BK,FRI,Ljusdals BK,LJU,closed,4,7,3,6
2024-11-26T18:00:00+00:00,9,Broberg/Soderhamn BS,BRO,Hammarby IF/BK,HAM,closed,2,3,0,3
2024-11-26T18:00:00+00:00,9,IFK Vanersborg,VAN,Frillesaas BK,FRI,closed,1,3,2,6
2024-11-26T18:00:00+00:00,9,Ljusdals BK,LJU,Villa-Lidkoping BK,VIL,closed,2,3,5,11
2024-11-26T18:00:00+00:00,9,Vetlanda BK,VBK,Edsbyns IF,EDS,closed,1,5,4,6
2024-11-26T18:00:00+00:00,9,Vasteraas SK,VSK,Sandvikens AIK,SAN,closed,1,7,2,3
2024-11-26T18:00:00+00:00,9,Aby/Tjureda IF,A/T,Gripen Trollhättan BK,GRT,closed,2,5,4,8
2024-11-27T18:00:00+00:00,9,IK Sirius BK,SIR,Bollnas GIF,BOL,closed,2,5,0,1
2024-11-29T18:00:00+00:00,10,Bollnas GIF,BOL,Vetlanda BK,VBK,closed,1,2,1,5
2024-11-29T18:00:00+00:00,10,Edsbyns IF,EDS,IFK Vanersborg,VAN,closed,4,11,1,1
2024-11-29T18:00:00+00:00,10,Hammarby IF/BK,HAM,Vasteraas SK,VSK,closed,2,4,8,13
2024-11-29T18:00:00+00:00,10,Ljusdals BK,LJU,Gripen Trollhättan BK,GRT,closed,1,3,2,6
2024-11-29T18:00:00+00:00,10,Sandvikens AIK,SAN,Broberg/Soderhamn BS,BRO,closed,2,5,3,7
2024-11-30T13:00:00+00:00,10,Villa-Lidkoping BK,VIL,Aby/Tjureda IF,A/T,closed,4,10,4,7
2024-11-30T14:00:00+00:00,10,Frillesaas BK,FRI,IK Sirius BK,SIR,closed,0,1,6,6
2024-12-03T18:00:00+00:00,11,Bollnas GIF,BOL,Sandvikens AIK,SAN,closed,1,2,1,5
2024-12-03T18:00:00+00:00,11,Gripen Trollhättan BK,GRT,Vasteraas SK,VSK,closed,0,8,4,6
2024-12-03T18:00:00+00:00,11,IFK Vanersborg,VAN,Ljusdals BK,LJU,closed,4,8,3,4
2024-12-03T18:00:00+00:00,11,Vetlanda BK,VBK,Frillesaas BK,FRI,closed,6,11,1,5
